Institution,Latitude,Longitude,City,Country,Address,Description,Grantees Hosted,Years Active,Example Project Titles
IBM Research Zurich,47.3097734,8.5446575,Ruschlikon,CH,"Saeumerstrasse 4, 8803 Rueschlikon, Switzerland","IBM Research Zurich is located in Ruschlikon, Switzerland. It has hosted 2 Whitaker International fellows (all in 2006). Whitaker fellows here have worked on biomedical imaging.",2,2006,Subtractive Contact Printing of Fibronectin and EGF in Nanopatterned Cell Adhesion Arrays
Institut universitaire romand de Sante au Travail (IST),46.5412913,6.658556,Lausanne,CH,"Route de la Corniche 21, 1010 Lausanne, Switzerland","Institut universitaire romand de Sante au Travail (IST) is located in Lausanne, Switzerland. It has hosted 1 Whitaker International fellow (2011). Whitaker fellows here have worked on drug delivery & nanomedicine and computational modeling & systems biology.",1,2011,Oxidative Stress Response to Nanoparticles in an Air-Liquid Interface in vitro Model System
Lausanne University Hospital (CHUV),46.5249174,6.6424293,Lausanne,CH,"Rue du Bugnon 46, 1005 Lausanne, Switzerland","Lausanne University Hospital (CHUV) is located in Lausanne, Switzerland. It has hosted 1 Whitaker International fellow (2015). Fellows have been hosted within the Department of Musculoskeletal Medicine. Whitaker fellows here have worked on orthopedics & biomechanics.",1,2015,Novel Methods to Analyze MR Image Data to Enhance Sensitivity of Scoring Knee OA Severity
Ludwig Institute for Cancer Research - Lausanne Branch,46.5416497,6.6627312,Lausanne,CH,"Chemin des Boveresses 155, 1066 Epalinges, Switzerland","Ludwig Institute for Cancer Research - Lausanne Branch is located in Lausanne, Switzerland. It has hosted 1 Whitaker International fellow (2017). Whitaker fellows here have worked on cancer & tumor biology.",1,2017,Engineering and Preclinical Testing of Adoptive CAR T-cells for Cancer Immunotherapy
UNAIDS (Joint UN Programme on HIV/AIDS),46.233186,6.133568,Geneva,CH,"Avenue Appia 20, 1211 Geneva, Switzerland","UNAIDS (Joint UN Programme on HIV/AIDS) is located in Geneva, Switzerland. It has hosted 1 Whitaker International fellow (2014). Whitaker fellows here have worked on global & resource-limited health and computational modeling & systems biology.",1,2014,A mathematical model-based tool for guiding HIV policy in sub-Saharan Africa
University Hospital Basel,47.5608275,7.5851399,Basel,CH,"Petersgraben 4, 4031 Basel, Switzerland","A major Swiss academic medical center where the Department for Biomedical Engineering and the Institute for Surgical Research collaborate closely with clinical departments on translational projects. It has hosted 4 Whitaker International fellows between 2008 and 2015. Fellows have been hosted within the Inst. Surgical Research. Whitaker fellows here have worked across biomedical imaging, tissue engineering & regenerative medicine, orthopedics & biomechanics, and biomanufacturing & synthetic biology.",4,2008–2015,3D bioreactor expansion of mesenchymal stem cells preserves robust stemness properties | Automated Bioreactor-based Production System for Engineered Cartilage Grafts | Controlled Angiogenesis via Scaffold and VEGF Manipulation in Cellular IVD Substitutes
University of Geneva,46.199444,6.1451157,Geneva,CH,"1205 Geneva, Switzerland","University of Geneva is located in Geneva, Switzerland. It has hosted 1 Whitaker International fellow (2017). Whitaker fellows here have worked on neural engineering & neuroscience and orthopedics & biomechanics.",1,2017,Brain-spine interface to alleviate gait deficits of Parkinson's disease
University of Zurich,47.3745896,8.5486629,Zurich,CH,"Raemistrasse 71, 8006 Zurich, Switzerland","Switzerland's largest university, with biomedical research closely linked to ETH Zurich and University Hospital Zurich, particularly in neuroscience and translational medicine. It has hosted 3 Whitaker International fellows between 2010 and 2014. Whitaker fellows here have worked across cancer & tumor biology, biomedical imaging, and computational modeling & systems biology.",3,2010–2014,HTRA1`s Role in Myogenic Differentiation and its Implications for Degenerative Muscle Disease | Modeling and Analysis of Cell Signaling in Epithelial-Mesenchymal Transitions of Breast Cancer | Role of mTOR and FAK in ionizing radiation-induced tumor angiogenic factor secretion
World Health Organization (WHO),46.232735,6.1343283,Geneva,CH,"Avenue Appia 20, 1211 Geneva, Switzerland","World Health Organization (WHO) is located in Geneva, Switzerland. It has hosted 1 Whitaker International fellow (2012). Whitaker fellows here have worked on biosensors & microfluidics.",1,2012,"Development of of low cost, rapid diagnostic tests for Visceral Leishmaniasis"
Pontifical Catholic University of Chile (UC),-33.4413488,-70.6406454,Santiago,CL,"Marcoleta 367, Santiago, Chile","Pontifical Catholic University of Chile (UC) is located in Santiago, Chile. It has hosted 1 Whitaker International fellow (2016). Whitaker fellows here have worked on biomedical imaging.",1,2016,Rapid MRI for T2 Measurements of Muscle Recovery Following Exercise
Universidad de Valparaiso,-33.0404398,-71.6254627,Valparaiso,CL,"Blanco 951, Valparaiso, Chile","Universidad de Valparaiso is located in Valparaiso, Chile. It has hosted 1 Whitaker International fellow (2009). Whitaker fellows here have worked across biomedical imaging, biosensors & microfluidics, and rehabilitation & assistive technology.",1,2009,Analysis of the adherence of clinical practice to official guidelines in patients with ischemic stroke: the role of diagnostic health technology in secondary prevention in a public hospital in Chile
Peking University,39.986913,116.3058739,Beijing,CN,"5 Yi He Yuan Lu, Haidian, Beijing 100871, China","One of China's two top universities, with growing biomedical engineering activity in nanomedicine, imaging, and translational research. It has hosted 5 Whitaker International fellows between 2010 and 2014. Whitaker fellows here have worked across biomedical imaging, tissue engineering & regenerative medicine, neural engineering & neuroscience, and cancer & tumor biology.",5,2010–2014,"Investigation of Viral RNA Reassortment Using Single RNA Sensitive Fluorescence Microscopy | Nanomodification of 3D Printed, Porous Substrates for Improved Osteoblast Response | Non-Invasive Convection Enhanced Nanocarrier Penetration into Brain Tumors using Liposomal Gold"
Shanghai Jiao Tong University,31.0252201,121.4337784,Shanghai,CN,"Minhang District, Shanghai 200240, China","Shanghai Jiao Tong University is located in Shanghai, China. It has hosted 1 Whitaker International fellow (2014). Whitaker fellows here have worked on neural engineering & neuroscience and biomedical imaging.",1,2014,Functional Neuroimaging of Cortical Connectivity in Schizophrenia and the Effects of mECT Treatment
CIDEIM (Centro Internacional de Entrenamiento e Investigaciones Medicas),3.3388068,-76.5284335,Cali,CO,"Cl 18 #122-135, Pance, Cali, Colombia","CIDEIM (Centro Internacional de Entrenamiento e Investigaciones Medicas) is located in Cali, Colombia. It has hosted 1 Whitaker International fellow (2017). Fellows have been hosted within the Centro Internacional de Entrenamiento. Whitaker fellows here have worked on biomedical imaging and drug delivery & nanomedicine.",1,2017,"The Design of Targeted, Multifunctional Nanoparticles for Anti-leishmanial Applications"
Universidad de los Andes,4.6014581,-74.0661334,Bogota,CO,"Cra 1 #18A-12, Bogota, Colombia","Universidad de los Andes is located in Bogota, Colombia. It has hosted 2 Whitaker International fellows between 2008 and 2012. Whitaker fellows here have worked across rehabilitation & assistive technology, microbiology & infectious disease, biomedical imaging, and medical devices & implants.",2,2008–2012,Elastic response of model bacterial membranes under antimicrobial peptide activity | Redesigning Orthotics and Prosthetics (O&P) for Low-Income Communities
Cellasys GmbH,47.90069,10.12446,Kronburg,DE,"Illerstrasse 14, 87758 Kronburg, Germany","Cellasys GmbH is located in Kronburg, Germany. It has hosted 1 Whitaker International fellow (2014). Whitaker fellows here have worked on orthopedics & biomechanics and computational modeling & systems biology.",1,2014,Organ on a Chip Modeling via the IMOLA-IVD System
Comprehensive Pneumology Center (CPC) Munich,48.108036,11.4734773,Munich,DE,"Max-Lebsche-Platz 31, 81377 Munich, Germany","Comprehensive Pneumology Center (CPC) Munich is located in Munich, Germany. It has hosted 1 Whitaker International fellow (2014). Whitaker fellows here have worked on tissue engineering & regenerative medicine and respiratory & pulmonary.",1,2014,YAP/TAZ and WNT/beta-catenin Crosstalk in Distal Lung Epithelial Repair and Regeneration
Ernst Strungmann Institute for Neuroscience,50.09349,8.65219,Frankfurt,DE,"Deutschordenstrasse 46, 60528 Frankfurt am Main, Germany","Ernst Strungmann Institute for Neuroscience is located in Frankfurt, Germany. It has hosted 1 Whitaker International fellow (2014). Whitaker fellows here have worked on neural engineering & neuroscience.",1,2014,Perturbation resistance of motor networks in the neural system
European Astronaut Centre (EAC) / ESA,50.8552801,7.1191356,Cologne,DE,"Linder Hoehe, 51147 Cologne, Germany","European Astronaut Centre (EAC) / ESA is located in Cologne, Germany. It has hosted 1 Whitaker International fellow (2014). Whitaker fellows here have worked on medical devices & implants and rehabilitation & assistive technology.",1,2014,Development of a Rehabilitation Device for Lumbo-pelvic Stabilization Muscles
European Molecular Biology Laboratory (EMBL) - Hamburg,53.5780828,9.8828462,Hamburg,DE,"Notkestrasse 85, 22607 Hamburg, Germany","European Molecular Biology Laboratory (EMBL) - Hamburg is located in Hamburg, Germany. It has hosted 1 Whitaker International fellow (2012). Fellows have been hosted within the BIO-SAXS Group. Whitaker fellows here have worked on computational modeling & systems biology and auditory & hearing research.",1,2012,Time-resolved and Machine Learning Methodology Development in Biological SAXS
Fraunhofer Institute for Microstructure of Materials and Systems (IMWS),51.4947259,11.9390758,Halle (Saale),DE,"Walter-Huelse-Strasse 1, 06120 Halle (Saale), Germany","Fraunhofer Institute for Microstructure of Materials and Systems (IMWS) is located in Halle (Saale), Germany. It has hosted 1 Whitaker International fellow (2015). Whitaker fellows here have worked across tissue engineering & regenerative medicine, biomedical imaging, and computational modeling & systems biology.",1,2015,Regeneration of Injured Motion Segments via Hydrogel Injection in an Ovine Model
German Primate Center (Deutsches Primatenzentrum),51.5614285,9.9548468,Gottingen,DE,"Kellnerweg 4, 37077 Goettingen, Germany","German Primate Center (Deutsches Primatenzentrum) is located in Gottingen, Germany. It has hosted 1 Whitaker International fellow (2010). Whitaker fellows here have worked across neural engineering & neuroscience, medical devices & implants, and rehabilitation & assistive technology.",1,2010,Unlocking the Mind: Decoding Hand Movements in the Primate Brain for Control of a Neural Prosthesis
Hannover Medical School (MHH),52.383675,9.8049554,Hannover,DE,"Carl-Neuberg-Strasse 1, 30625 Hannover, Germany","Hannover Medical School (MHH) is located in Hannover, Germany. It has hosted 1 Whitaker International fellow (2012).",1,2012,In vivo and ex vivo corrosion assessment of biodegradable magnesium alloys
Heidelberg University,49.41066,8.7065543,Heidelberg,DE,"Grabengasse 1, 69117 Heidelberg, Germany","Germany's oldest university, with a major biomedical research footprint including the Heidelberg University Hospital, German Cancer Research Center (DKFZ) affiliations, and the Heidelberg Laboratory for Biomechanics and Implant Research. It has hosted 3 Whitaker International fellows between 2013 and 2017. Fellows have been hosted within the Laboratory of Biomechanics and Implant Research. Whitaker fellows here have worked across orthopedics & biomechanics, computational modeling & systems biology, and auditory & hearing research.",3,2013–2017,Compressive Sensing Strategies for 3D EchoPIV | Development of the iSurgeon: An Expert Model- and Sensor-Based Training System | In-vitro analysis of taper corrosion after metal-on-metal hip arthroplasty with large head bearings
"Helmholtz Institute for Biomedical Engineering, RWTH Aachen",50.776059,6.0476703,Aachen,DE,"Pauwelsstrasse 20, 52074 Aachen, Germany","Helmholtz Institute for Biomedical Engineering, RWTH Aachen is located in Aachen, Germany. It has hosted 1 Whitaker International fellow (2016). Whitaker fellows here have worked on medical devices & implants and cardiovascular engineering.",1,2016,Stent Development for a Minimally Invasive Right Ventricular Assist Device
Humboldt-Universitat zu Berlin,52.517883,13.3936551,Berlin,DE,"Unter den Linden 6, 10117 Berlin, Germany","Humboldt-Universitat zu Berlin is located in Berlin, Germany. It has hosted 1 Whitaker International fellow (2011).",1,2011,
Karlsruhe Institute of Technology (KIT),49.0122041,8.415549,Karlsruhe,DE,"Kaiserstrasse 12, 76131 Karlsruhe, Germany","Karlsruhe Institute of Technology (KIT) is located in Karlsruhe, Germany. It has hosted 1 Whitaker International fellow (2012). Whitaker fellows here have worked on tissue engineering & regenerative medicine.",1,2012,Biodegradable Hydrogels for Cell Culture
Ludwig Maximilian University of Munich (LMU),48.1509185,11.5798609,Munich,DE,"Geschwister-Scholl-Platz 1, 80539 Munich, Germany","Ludwig Maximilian University of Munich (LMU) is located in Munich, Germany. It has hosted 1 Whitaker International fellow (2011). Whitaker fellows here have worked across medical devices & implants, auditory & hearing research, biomedical imaging, and rehabilitation & assistive technology.",1,2011,Direct Hearing Device - A Novel Non-Invasive Hearing Prosthesis
Max Planck Institute for Intelligent Systems,48.7468939,9.0805141,Stuttgart,DE,"Heisenbergstrasse 3, 70569 Stuttgart, Germany","Max Planck Institute for Intelligent Systems is located in Stuttgart, Germany. It has hosted 2 Whitaker International fellows between 2016 and 2017. Whitaker fellows here have worked on medical devices & implants.",2,2016–2017,A robotic assistant for the care facilitation of children with autism during hospital visits | Microrobotic devices for spatially controlled in vivo gene delivery
Max Planck Institute of Molecular Cell Biology and Genetics,51.058636,13.7845069,Dresden,DE,"Pfotenhauerstrasse 108, 01307 Dresden, Germany","Max Planck Institute of Molecular Cell Biology and Genetics is located in Dresden, Germany. It has hosted 2 Whitaker International fellows between 2009 and 2011. Whitaker fellows here have worked on biomedical imaging and genomics & molecular biology.",2,2009–2011,Dissecting multicellular coordination of the vertebrate segmentation clock | Nanoscale mechanical analysis of mitotic molecular motors
Saarland University,49.2548829,7.042684,Saarbrucken,DE,"Campus, 66123 Saarbruecken, Germany","Saarland University is located in Saarbrucken, Germany. It has hosted 1 Whitaker International fellow (2010). Whitaker fellows here have worked across cancer & tumor biology, biomedical imaging, drug delivery & nanomedicine, and respiratory & pulmonary.",1,2010,Multifunctional Silica Nanoparticles for the Treatment of Pulmonary Adenocarcinoma and Metastasis
TU Berlin / LMU collaboration,52.5125322,13.3269446,Berlin,DE,"Strasse des 17. Juni 135, 10623 Berlin / Munich, Germany","TU Berlin / LMU collaboration is located in Berlin, Germany. It has hosted 1 Whitaker International fellow (2010).",1,2010,Synthesis and Anatomic Translation of Replacement Periosteum
TU Braunschweig,52.2740424,10.5292636,Braunschweig,DE,"Universitaetsplatz 2, 38106 Braunschweig, Germany","TU Braunschweig is located in Braunschweig, Germany. It has hosted 1 Whitaker International fellow (2012).",1,2012,
Technical University of Berlin (TU Berlin),52.5125322,13.3269446,Berlin,DE,"Strasse des 17. Juni 135, 10623 Berlin, Germany","Technical University of Berlin (TU Berlin) is located in Berlin, Germany. It has hosted 1 Whitaker International fellow (2015). Whitaker fellows here have worked on biomedical imaging and drug delivery & nanomedicine.",1,2015,Nanostructural characterization of self-assembling recombinant polypeptides for drug delivery
Technical University of Munich (TUM),48.1487646,11.5681764,Munich,DE,"Arcisstrasse 21, 80333 Munich, Germany","One of Germany's top technical universities, with biomedical engineering strengths spanning medical electronics, imaging physics, and computational medicine. It has hosted 4 Whitaker International fellows between 2007 and 2014. Whitaker fellows here have worked across biomedical imaging, cardiovascular engineering, medical devices & implants, and rehabilitation & assistive technology.",4,2007–2014,Biomimetic modeling of neural circuitry in the spine for future rehabilitative prosthetic devices | Development of Integrated MR/PET Imaging Schemes for Cardiovascular Applications | Fluorescence Molecular Tomography in the application of visualizing tumor responses to therapy
TransTissue Technologies GmbH,52.5237061,13.3781197,Berlin,DE,"Charite, Virchowweg 11, 10117 Berlin, Germany","TransTissue Technologies GmbH is located in Berlin, Germany. It has hosted 1 Whitaker International fellow (2005). Whitaker fellows here have worked on tissue engineering & regenerative medicine.",1,2005,Analysis of mesenchymal tissues in tissue engineering
University Medical Center Freiburg,48.0060385,7.83563,Freiburg,DE,"Hugstetter Strasse 55, 79106 Freiburg, Germany","University Medical Center Freiburg is located in Freiburg, Germany. It has hosted 1 Whitaker International fellow (2009). Whitaker fellows here have worked across biomedical imaging, fluid dynamics & cardiovascular flow, and respiratory & pulmonary.",1,2009,Non-Invasive Imaging of Pulmonary Blood Flow using Time-Resolved 3D Phase Contrast MRI
University Medical Center Gottingen,51.5505375,9.9427949,Gottingen,DE,"Robert-Koch-Strasse 40, 37075 Goettingen, Germany","University Medical Center Gottingen is located in Gottingen, Germany. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked across cardiovascular engineering, biomedical imaging, and auditory & hearing research.",1,2013,Cultivation of engineered heart tissues for contractile and electrophysiological assessment
University Medical Center Hamburg-Eppendorf (UKE),53.5908285,9.9739881,Hamburg,DE,"Martinistrasse 52, 20251 Hamburg, Germany","University Medical Center Hamburg-Eppendorf (UKE) is located in Hamburg, Germany. It has hosted 1 Whitaker International fellow (2015). Whitaker fellows here have worked on cardiovascular engineering and auditory & hearing research.",1,2015,Controlling the Maturation of Human Engineered Heart Tissues with Afterload
University of Duisburg-Essen,51.4277172,6.801008,Essen,DE,"Forsthausweg 2, 47057 Duisburg, Germany","University of Duisburg-Essen is located in Essen, Germany. It has hosted 2 Whitaker International fellows between 2015 and 2016. Whitaker fellows here have worked on biomedical imaging and drug delivery & nanomedicine.",2,2015–2016,Cytocompatibility of Hafnium Oxide Nanoparticles for Biomedical Applications | Development and Characterization of Perfluorocarbon Nanodroplet Oxygen Carriers
University of Freiburg,47.9935441,7.8459496,Freiburg,DE,"Fahnenbergplatz, 79085 Freiburg, Germany","University of Freiburg is located in Freiburg, Germany. It has hosted 2 Whitaker International fellows between 2015 and 2016. Whitaker fellows here have worked on orthopedics & biomechanics and medical devices & implants.",2,2015–2016,Insulin Resistance on-a-chip | Sensory Exploration of Acutely Implanted TIME in the Rat Sciatic Nerve.
University of Gottingen,51.5414946,9.9375952,Gottingen,DE,"Wilhelmsplatz 1, 37073 Goettingen, Germany","University of Gottingen is located in Gottingen, Germany. It has hosted 1 Whitaker International fellow (2015). Whitaker fellows here have worked on biomedical imaging.",1,2015,Improved Myoelectric Interfacing Using Nonnegative Matrix Factorization and Bayesian Filtering
University of Regensburg,48.9968045,12.0957868,Regensburg,DE,"Universitaetsstrasse 31, 93053 Regensburg, Germany","University of Regensburg is located in Regensburg, Germany. It has hosted 1 Whitaker International fellow (2016). Whitaker fellows here have worked across tissue engineering & regenerative medicine, drug delivery & nanomedicine, and ophthalmology & vision research.",1,2016,Diels-Alder Hydrogels as a Drug Delivery System for Treatment of Macular Degeneration
University of Tubingen,48.5250797,9.0572876,Tubingen,DE,"Geschwister-Scholl-Platz, 72074 Tuebingen, Germany","University of Tubingen is located in Tubingen, Germany. It has hosted 1 Whitaker International fellow (2014).",1,2014,Enhancing Muscle Differentiation through 3D Culture and Mechanical Stimulation
University of Wurzburg,49.7881814,9.93526,Wurzburg,DE,"Sanderring 2, 97070 Wuerzburg, Germany","University of Wurzburg is located in Wurzburg, Germany. It has hosted 1 Whitaker International fellow (2012). Whitaker fellows here have worked on cardiovascular engineering and biomedical imaging.",1,2012,Free-Breathing Non-Gated Cardiac Exam Using Rapid Volumetric Magnetic Resonance Imaging
DTU Biosustain (Novo Nordisk Foundation Center for Biosustainability),55.7878986,12.519866,Kongens Lyngby,DK,"Henrik Dams Alle 220, 2800 Kongens Lyngby, Denmark","DTU Biosustain (Novo Nordisk Foundation Center for Biosustainability) is located in Kongens Lyngby, Denmark. It has hosted 1 Whitaker International fellow (2015). Whitaker fellows here have worked on biomedical imaging and microbiology & infectious disease.",1,2015,Systems evaluation of interconnected drug resistance and metabolic adaptation in evolving pathogens
Technical University of Denmark (DTU),55.7860512,12.5233698,Kongens Lyngby,DK,"Anker Engelunds Vej 1, 2800 Kongens Lyngby, Denmark","Technical University of Denmark (DTU) is located in Kongens Lyngby, Denmark. It has hosted 3 Whitaker International fellows between 2006 and 2013. Whitaker fellows here have worked on biomedical imaging and cardiovascular engineering.",3,2006–2013,"Investigations into synthetic aperture, beam forming, and adaptive imaging for medical ultrasound | Real-time Cardiac Imaging with an Advanced Ultrasound Platform"
University of Copenhagen,55.6801409,12.5715182,Copenhagen,DK,"Norregade 10, 1165 Copenhagen, Denmark","University of Copenhagen is located in Copenhagen, Denmark. It has hosted 2 Whitaker International fellows between 2011 and 2012. Whitaker fellows here have worked on biomedical imaging.",2,2011–2012,Cell-selective proteomic labeling in heterogeneous biofilms
University of Tartu,58.3810843,26.7198658,Tartu,EE,"Ulikooli 18, 50090 Tartu, Estonia","University of Tartu is located in Tartu, Estonia. It has hosted 1 Whitaker International fellow (2010). Whitaker fellows here have worked on biomedical imaging and medical devices & implants.",1,2010,Portable Optical Cataract Assessment Device
CEIT - University of Navarra (San Sebastian campus),43.2907482,-1.9834039,San Sebastian,ES,"Mikeletegi Pasealekua 48, 20009 San Sebastian, Spain","CEIT - University of Navarra (San Sebastian campus) is located in San Sebastian, Spain. It has hosted 2 Whitaker International fellows between 2015 and 2017. Whitaker fellows here have worked across biosensors & microfluidics, biomedical imaging, medical devices & implants, and microbiology & infectious disease.",2,2015–2017,Enhanced Microfluidic Devices for Disease Progression and Diagnostic Studies | Investigating electricidal effect for efficient bacterial biofilm detection and treatment
Catalan Institute of Nanoscience and Nanotechnology (ICN2),41.5012317,2.1117553,Bellaterra,ES,"UAB Campus, 08193 Bellaterra, Barcelona, Spain","Catalan Institute of Nanoscience and Nanotechnology (ICN2) is located in Bellaterra, Spain. It has hosted 2 Whitaker International fellows between 2016 and 2017. Whitaker fellows here have worked across neural engineering & neuroscience, biosensors & microfluidics, and biomedical imaging.",2,2016–2017,Development of Next-Generation Brain Computer Interfaces based on Graphene | Nanoplasmonic Biosensor for Detection and Diagnosis of Neurological Diseases
Centro de Investigacion Principe Felipe (CIPF),39.4517338,-0.3446398,Valencia,ES,"Calle Eduardo Primo Yufera 3, 46012 Valencia, Spain","Centro de Investigacion Principe Felipe (CIPF) is located in Valencia, Spain. It has hosted 1 Whitaker International fellow (2013).",1,2013,Evaluation of biorecognition and subcellular fate of polymer peptide conjugates
ICFO - The Institute of Photonic Sciences,41.2754712,1.9896212,Castelldefels,ES,"Av Carl Friedrich Gauss 3, 08860 Castelldefels, Barcelona, Spain","ICFO - The Institute of Photonic Sciences is located in Castelldefels, Spain. It has hosted 2 Whitaker International fellows between 2011 and 2014. Whitaker fellows here have worked across biomedical imaging, fluid dynamics & cardiovascular flow, and neural engineering & neuroscience.",2,2011–2014,Non-invasive bedside 3D imaging of cerebral blood flow in premature infants | Super resolution microscopy of cellular dynamics
Institute for Bioengineering of Catalonia (IBEC),41.38219,2.1180982,Barcelona,ES,"Carrer de Baldiri Reixac 10-12, 08028 Barcelona, Spain","Institute for Bioengineering of Catalonia (IBEC) is located in Barcelona, Spain. It has hosted 3 Whitaker International fellows between 2012 and 2013. Whitaker fellows here have worked across biomedical imaging, tissue engineering & regenerative medicine, orthopedics & biomechanics, and computational modeling & systems biology.",3,2012–2013,Development of a multi-photon microscopy setup for measuring traction forces during in vivo angiogenesis | Fabrication and Analysis of Nanostructured Vitroceramics for Bone Regeneration | Mechanistic Modeling for Tissue Dynamics
Institute of Polymer Science and Technology (ICTP-CSIC),40.4433212,-3.6850275,Madrid,ES,"Calle Juan de la Cierva 3, 28006 Madrid, Spain","Institute of Polymer Science and Technology (ICTP-CSIC) is located in Madrid, Spain. It has hosted 1 Whitaker International fellow (2017).",1,2017,Development of non-migrating covalently bound plasticizers for poly(vinyl chloride)
Spanish National Cancer Research Centre (CNIO),40.4762683,-3.6939061,Madrid,ES,"Calle Melchor Fernandez Almagro 3, 28029 Madrid, Spain","Spanish National Cancer Research Centre (CNIO) is located in Madrid, Spain. It has hosted 1 Whitaker International fellow (2016). Whitaker fellows here have worked on biomedical imaging.",1,2016,Co-evolution in C3 and Factor H: mechanisms of activation and regulation
Universidad Carlos III de Madrid (UC3M),40.3324367,-3.76511,Madrid,ES,"Avenida de la Universidad 30, 28911 Leganes, Madrid, Spain","Universidad Carlos III de Madrid (UC3M) is located in Madrid, Spain. It has hosted 2 Whitaker International fellows between 2012 and 2015. Whitaker fellows here have worked on tissue engineering & regenerative medicine and biomedical imaging.",2,2012–2015,Mechanical modulation of a human plasma-based skin scaffold via reactive multi-arm polyethylene glycols | Mesenchymal Stem Cells in the Development of an Autologous Engineered Skin
Universitat Pompeu Fabra (UPF),41.3789669,2.1797944,Barcelona,ES,"Carrer de la Merce 12, 08002 Barcelona, Spain","Universitat Pompeu Fabra (UPF) is located in Barcelona, Spain. It has hosted 1 Whitaker International fellow (2016). Whitaker fellows here have worked on biomedical imaging and microbiology & infectious disease.",1,2016,Understanding Bacterial Plasmid Copy Number Control Under Stress
University of Navarra,42.8014692,-1.6594587,Pamplona,ES,"Campus Universitario, 31009 Pamplona, Spain","University of Navarra is located in Pamplona, Spain. It has hosted 1 Whitaker International fellow (2009). Whitaker fellows here have worked on orthopedics & biomechanics and auditory & hearing research.",1,2009,Experimental Injury Biomechanics Research at the European Center for Injury Prevention
University of Salamanca,40.9613376,-5.6669251,Salamanca,ES,"Patio de Escuelas 1, 37008 Salamanca, Spain","University of Salamanca is located in Salamanca, Spain. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on auditory & hearing research.",1,2013,Improved Behavioral Estimates of Cochlear Filter Tuning
St. Paul's Hospital Millennium Medical College,9.0484403,38.7268435,Addis Ababa,ET,"Swaziland St, Addis Ababa, Ethiopia","St. Paul's Hospital Millennium Medical College is located in Addis Ababa, Ethiopia. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on biomedical imaging.",1,2013,Imaging technologies for improved healthcare: foundation and challenges
"Center for Functional Materials (FUNMAT), Abo Akademi University",60.4509869,22.2776003,Turku,FI,"Tuomiokirkontori 3, 20500 Turku, Finland","Center for Functional Materials (FUNMAT), Abo Akademi University is located in Turku, Finland. It has hosted 1 Whitaker International fellow (2014).",1,2014,"An Ultra-Low-Cost, Paper-Based Test for Sickle Cell Disease"
Aix-Marseille University,43.2921966,5.3591384,Marseille,FR,"58 Bd Charles Livon, 13007 Marseille, France","Aix-Marseille University is located in Marseille, France. It has hosted 2 Whitaker International fellows between 2005 and 2017. Whitaker fellows here have worked on neural engineering & neuroscience and computational modeling & systems biology.",2,2005–2017,Fragile Networks in Focal Epilepsy | Modeling Brain Dynamics in Depression Recovery
CNRS - Neurobiology of Sensorimotor Networks Lab,43.3051767,5.379436,Marseille,FR,"3 Pl Victor Hugo, 13003 Marseille, France","CNRS - Neurobiology of Sensorimotor Networks Lab is located in Marseille, France. It has hosted 1 Whitaker International fellow (2007). Fellows have been hosted within the Lab. de Neurobio. des Reseaux Sensorimoteurs.",1,2007,Dexterous Hand Control: Movement and the Influence of Gravity
ENS Paris-Saclay (formerly ENS Cachan),48.7125373,2.1649725,Cachan,FR,"4 Av des Sciences, 91190 Gif-sur-Yvette, France","ENS Paris-Saclay (formerly ENS Cachan) is located in Cachan, France. It has hosted 1 Whitaker International fellow (2015). Whitaker fellows here have worked on neural engineering & neuroscience.",1,2015,Mechanisms of Atrophy in Alzheimer`s Disease
Ecole Polytechnique,48.7142231,2.2095612,Palaiseau,FR,"Route de Saclay, 91120 Palaiseau, France","Ecole Polytechnique is located in Palaiseau, France. It has hosted 3 Whitaker International fellows between 2012 and 2013. Whitaker fellows here have worked across cardiovascular engineering, biomedical imaging, medical devices & implants, and fluid dynamics & cardiovascular flow.",3,2012–2013,An arterial bioreactor for investigation and optimization of tissue response to stenting | Flow-Induced Endothelial Cell Migration in a Smooth Muscle Cell Co-Culture System | The Effects of Substrate Stiffness on Endothelial Cell Migration and Flow-Induced Polarization
Georgia Tech Lorraine,49.102203,6.2152202,Metz,FR,"2 Rue Marconi, 57070 Metz, France","Georgia Tech Lorraine is located in Metz, France. It has hosted 1 Whitaker International fellow (2012).",1,2012,
Grenoble INP,45.190758,5.7174215,Grenoble,FR,"46 Av Felix Viallet, 38031 Grenoble, France","Grenoble INP is located in Grenoble, France. It has hosted 2 Whitaker International fellows between 2011 and 2013.",2,2011–2013,"Engineering of Polysaccharide Nanoassemblies to guide cell fate, from adhesion to differentiation | Optimization of a Novel Biopolymer Film to Influence the Fate of Muscle Satellite Cells"
"IHU LIRYC, University of Bordeaux",44.7966221,-0.6595061,Bordeaux,FR,"Av du Haut Leveque, 33600 Pessac, France","IHU LIRYC, University of Bordeaux is located in Bordeaux, France. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on cardiovascular engineering and auditory & hearing research.",1,2013,Mechanisms of Protocol Specific Microvolt T-wave Alternans in Human Heart Failure
