Institution,Latitude,Longitude,City,Country,Address,Description,Grantees Hosted,Years Active,Example Project Titles
National University of Singapore (NUS) - SINAPSE,1.2966,103.7764,Singapore,SG,"21 Lower Kent Ridge Rd, Singapore 119077","National University of Singapore (NUS) - SINAPSE is located in Singapore, Singapore. It has hosted 1 Whitaker International fellow (2016). Fellows have been hosted within the SINAPSE Lab. Whitaker fellows here have worked across neural engineering & neuroscience, biomedical imaging, and computational modeling & systems biology.",1,2016,Neuromodulation of Pelvic Nerve for Controlling Bladder Function in Rat Model
Basic Health International,13.6845832,-89.2291329,San Salvador,SV,"San Salvador, El Salvador","Basic Health International is located in San Salvador, El Salvador. It has hosted 1 Whitaker International fellow (2015). Whitaker fellows here have worked on cancer & tumor biology and maternal & reproductive health.",1,2015,Evaluation and implementaion of low-cost technologies for cervical cancer screening and treatment
Chiang Mai University,18.8082363,98.9546953,Chiang Mai,TH,"239 Huay Kaew Rd, Mueang Chiang Mai, Thailand 50200","Chiang Mai University is located in Chiang Mai, Thailand. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on biomedical imaging and orthopedics & biomechanics.",1,2013,Effect of Mindfulness Meditation on Cognitive Performance and Balance Control during Gait
Shoklo Malaria Research Unit (Mahidol-Oxford Tropical Medicine Research Unit),16.9791764,98.5168054,Mae Sot,TH,"Mae Sot, Tak 63140, Thailand","Shoklo Malaria Research Unit (Mahidol-Oxford Tropical Medicine Research Unit) is located in Mae Sot, Thailand. It has hosted 1 Whitaker International fellow (2009). Whitaker fellows here have worked across biomedical imaging, global & resource-limited health, and maternal & reproductive health.",1,2009,Understanding the effect of malaria on pregnancy in Thailand.
Bogazici University,41.0836151,29.0517642,Istanbul,TR,"Bebek, 34342 Besiktas, Istanbul, Turkey","Bogazici University is located in Istanbul, Turkey. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on biomedical imaging and genomics & molecular biology.",1,2013,Structural Interaction Studies of G Protein-Coupled Receptors for Chemotherapy Development
Academia Sinica - Institute of Biomedical Sciences,25.0436142,121.6146536,Taipei,TW,"No 128 Sec 2, Academia Rd, Nangang, Taipei 115, Taiwan","Academia Sinica - Institute of Biomedical Sciences is located in Taipei, Taiwan. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on cancer & tumor biology.",1,2013,The Understanding of Enhanced Cancer Therapy through Unique Antibody Engineering
Academia Sinica - Institute of Physics,25.041196,121.616756,Taipei,TW,"No 128 Sec 2, Academia Rd, Nangang, Taipei 115, Taiwan","Academia Sinica - Institute of Physics is located in Taipei, Taiwan. It has hosted 1 Whitaker International fellow (2012). Whitaker fellows here have worked on biomedical imaging.",1,2012,Ventral Hernia Surgical Mesh Construct for Improved Muscle Growth
National Health Research Institutes (NHRI),24.7049997,120.9139645,Miaoli,TW,"No 35 Keyan Rd, Zhunan, Miaoli 350, Taiwan","National Health Research Institutes (NHRI) is located in Miaoli, Taiwan. It has hosted 1 Whitaker International fellow (2010). Whitaker fellows here have worked on auditory & hearing research.",1,2010,Evaluation of the Translational Efficiency of Taiwan`s Investment in Biomedical Engineering Research
National Tsing Hua University,24.7950225,120.996405,Hsinchu,TW,"No 101 Sec 2 Guangfu Rd, East District, Hsinchu 300, Taiwan","National Tsing Hua University is located in Hsinchu, Taiwan. It has hosted 1 Whitaker International fellow (2012). Fellows have been hosted within the Institute of Biomedical Engineering. Whitaker fellows here have worked across biomedical imaging, orthopedics & biomechanics, biosensors & microfluidics, and microbiology & infectious disease.",1,2012,"Lab-on-a-chip Platform for Rapid, Automated, and Portable Detection of Infectious Diseases"
Kilimanjaro Christian Medical University College (KCMUCo),-3.3208577,37.3294531,Moshi,TZ,"Moshi, Kilimanjaro Region, Tanzania","Kilimanjaro Christian Medical University College (KCMUCo) is located in Moshi, Tanzania. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked across biomedical imaging, biosensors & microfluidics, global & resource-limited health, and microbiology & infectious disease.",1,2013,Sensitive detection of Mycobacterium tuberculosis from antibodies in lymphocyte supernatant in pediatric patients
Medical Technology Transfer and Services (MTTS) Asia,21.0869274,105.8133478,Hanoi,VN,"26 Lane 41 An Duong Vuong, Phu Thuong, Hanoi, Vietnam","Medical Technology Transfer and Services (MTTS) Asia is located in Hanoi, Vietnam. It has hosted 3 Whitaker International fellows between 2011 and 2016. Fellows have been hosted within the Breath of Life Program. Whitaker fellows here have worked on global & resource-limited health.",3,2011–2016,Improving and Translating the Bilistick System for a Low-Resource Setting | Phototherapy Blanket For Hospital Use in Southeast Asia
"Desmond Tutu HIV Foundation, University of Cape Town",-33.9288713,18.4447392,Cape Town,ZA,"3 Woodlands Rd, Woodstock, Cape Town, 7915, South Africa","Desmond Tutu HIV Foundation, University of Cape Town is located in Cape Town, South Africa. It has hosted 1 Whitaker International fellow (2016). Whitaker fellows here have worked across biomedical imaging, medical devices & implants, and global & resource-limited health.",1,2016,Integrating end-user perspectives in developing a biodegradable implant for HIV prevention
Disa Vascular,-34.0411479,18.4807262,Cape Town,ZA,"Constantiaberg Business Park, Diep River, Cape Town, 7945, South Africa","Disa Vascular is located in Cape Town, South Africa. It has hosted 1 Whitaker International fellow (2014). Whitaker fellows here have worked across cardiovascular engineering, orthopedics & biomechanics, and medical devices & implants.",1,2014,Medical Device Internship at Disa Vascular
KwaZulu-Natal Research Institute for TB and HIV (K-RITH/AHRI),-29.8822573,30.9875649,Durban,ZA,"K-RITH Tower, 719 Umbilo Rd, Durban, 4001, South Africa","KwaZulu-Natal Research Institute for TB and HIV (K-RITH/AHRI) is located in Durban, South Africa. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked across microbiology & infectious disease, biomedical imaging, and global & resource-limited health.",1,2013,Characterizing Proteomic Signatures of Antibiotic Tolerance in Mycobacterium Tuberculosis
University of Cape Town (UCT),-33.957652,18.4611991,Cape Town,ZA,"Rondebosch, Cape Town, 7700, South Africa","South Africa's leading research university, with biomedical engineering activity ranging from cardiovascular device design to global health diagnostics and HIV/TB research. It has hosted 6 Whitaker International fellows between 2006 and 2016. Whitaker fellows here have worked across cardiovascular engineering, tissue engineering & regenerative medicine, global & resource-limited health, and computational modeling & systems biology.",6,2006–2016,"Biomechanical Effects of Polymer Injection into Ischemic Myocardium Post-Infarction | Computational modeling of the effects of matrix stiffness heterogeneity on endothelial cells | Diagnosis, treatment, and management of tuberculosis and HIV in South Africa"
University of the Witwatersrand,-26.1928628,28.0304471,Johannesburg,ZA,"1 Jan Smuts Ave, Braamfontein, Johannesburg, 2017, South Africa","University of the Witwatersrand is located in Johannesburg, South Africa. It has hosted 1 Whitaker International fellow (2012). Whitaker fellows here have worked across cardiovascular engineering, biomedical imaging, global & resource-limited health, and microbiology & infectious disease.",1,2012,"Investigating Induction of Cardiovascular Disease by HIV-Infected, Primary Human Monocytes"
